abc,avar,white,black,hisp,asian,oth,female,dis,takeup,treat
20,-323,1,0,0,0,0,1,0,0,0
26,248,0,1,0,0,0,0,0,1,1
26,65,1,0,0,0,0,0,0,1,1
24,161,0,0,1,0,0,1,0,1,1
24,298,0,1,0,0,0,0,0,1,1
26,151,0,1,0,0,0,0,0,1,1
7,-260,1,0,0,0,0,0,0,0,0
26,-312,0,1,0,0,0,0,0,0,0
25,139,0,1,0,0,0,0,0,1,1
2,-231,0,1,0,0,0,1,0,0,0
10,146,1,0,0,0,0,0,1,1,1
24,46,0,0,1,0,0,1,0,1,1
23,-52,0,1,0,0,0,1,0,0,0
24,81,1,0,0,0,0,0,0,1,1
5,-298,0,1,0,0,0,1,0,0,0
26,82,0,0,1,0,0,0,0,1,1
2,-212,0,1,0,0,0,0,0,0,0
0,-236,1,0,0,0,0,1,0,0,0
18,-200,1,0,0,0,0,1,0,0,0
19,-256,1,0,0,0,0,1,0,0,0
3,-37,0,0,1,0,0,0,0,0,0
5,-122,1,0,0,0,0,0,0,0,0
23,-75,0,0,1,0,0,0,0,0,0
14,-340,0,1,0,0,0,1,0,0,0
7,-351,0,1,0,0,0,1,0,0,0
26,232,0,1,0,0,0,1,0,1,1
6,-95,0,0,1,0,0,0,0,0,0
23,31,0,1,0,0,0,0,0,1,1
12,103,0,1,0,0,0,0,0,1,1
4,-311,1,0,0,0,0,0,0,0,0
0,-9,0,1,0,0,0,1,0,0,0
16,-244,0,1,0,0,0,0,0,0,0
13,-311,0,0,1,0,0,0,0,0,0
11,-294,0,1,0,0,0,0,0,0,0
23,-179,0,1,0,0,0,1,0,0,0
24,73,1,0,0,0,0,1,0,1,1
5,-30,1,0,0,0,0,0,0,0,0
0,-206,0,1,0,0,0,0,0,0,0
23,99,1,0,0,0,0,1,0,1,1
18,196,0,0,1,0,0,1,0,1,1
26,25,1,0,0,0,0,1,0,1,1
4,16,0,1,0,0,0,0,0,1,1
0,-218,0,1,0,0,0,1,0,0,0
24,3,1,0,0,0,0,1,0,1,1
3,-191,0,1,0,0,0,1,0,0,0
26,-76,1,0,0,0,0,1,0,0,0
26,92,0,1,0,0,0,1,0,1,1
0,-89,0,1,0,0,0,1,0,0,0
1,-300,1,0,0,0,0,1,0,0,0
25,296,0,0,0,0,1,1,0,1,1
0,-223,0,1,0,0,0,0,0,0,0
24,-349,0,0,0,1,0,1,0,0,0
23,134,1,0,0,0,0,0,0,1,1
7,-67,0,1,0,0,0,0,1,0,0
0,-5,0,1,0,0,0,0,0,0,0
4,-242,0,1,0,0,0,1,0,0,0
11,-205,1,0,0,0,0,1,0,0,0
21,329,0,1,0,0,0,0,0,1,1
3,-316,1,0,0,0,0,1,0,0,0
26,311,0,1,0,0,0,0,0,1,1
20,186,1,0,0,0,0,1,0,1,1
26,-91,0,1,0,0,0,0,0,0,0
14,-73,1,0,0,0,0,0,0,0,0
8,-142,1,0,0,0,0,0,0,0,0
0,-155,0,0,1,0,0,0,0,0,0
24,214,0,1,0,0,0,0,0,1,1
11,-254,1,0,0,0,0,0,0,0,0
15,-84,0,1,0,0,0,1,0,0,0
14,-219,1,0,0,0,0,0,1,0,0
19,142,1,0,0,0,0,1,1,1,1
10,-80,0,0,0,1,0,1,0,0,0
18,164,0,1,0,0,0,1,0,1,1
7,-70,1,0,0,0,0,1,0,0,0
26,352,0,0,1,0,0,0,0,1,1
7,-159,1,0,0,0,0,1,0,0,0
3,-292,0,1,0,0,0,0,0,0,0
19,-297,0,1,0,0,0,1,0,0,0
0,-6,1,0,0,0,0,1,0,0,0
16,-265,1,0,0,0,0,0,0,0,0
25,10,0,1,0,0,0,1,0,1,1
12,305,1,0,0,0,0,0,1,1,1
7,-233,1,0,0,0,0,1,0,0,0
25,-245,0,1,0,0,0,0,0,0,0
22,220,0,1,0,0,0,0,1,1,1
5,-251,1,0,0,0,0,0,0,0,0
22,274,0,0,1,0,0,0,0,1,1
4,-187,0,0,1,0,0,0,0,0,0
1,-163,0,1,0,0,0,1,0,0,0
3,-208,0,1,0,0,0,1,1,0,0
26,128,0,0,1,0,0,0,0,1,1
1,-121,0,0,1,0,0,0,0,0,0
24,118,0,1,0,0,0,1,0,1,1
4,-325,1,0,0,0,0,0,0,0,0
14,-207,1,0,0,0,0,1,0,0,0
22,-339,0,1,0,0,0,0,0,0,0
22,-315,1,0,0,0,0,1,0,0,0
17,-111,0,1,0,0,0,1,0,0,0
2,-195,1,0,0,0,0,0,0,0,0
11,-126,0,0,0,0,1,1,0,0,0
8,359,0,1,0,0,0,0,1,1,1
9,-223,0,0,0,0,1,1,0,0,0
26,37,0,0,0,0,1,1,0,1,1
8,-136,0,1,0,0,0,1,0,0,0
0,-154,1,0,0,0,0,1,0,0,0
10,-186,0,0,1,0,0,1,0,0,0
18,-283,0,1,0,0,0,0,0,0,0
26,-84,0,1,0,0,0,1,0,0,0
1,-181,0,1,0,0,0,0,0,0,0
0,-184,0,1,0,0,0,1,0,0,0
1,-243,1,0,0,0,0,0,0,0,0
20,358,1,0,0,0,0,0,0,1,1
24,-311,0,0,0,1,0,1,0,0,0
16,291,1,0,0,0,0,0,0,1,1
0,-104,1,0,0,0,0,0,0,0,0
26,-125,1,0,0,0,0,0,0,0,0
26,71,1,0,0,0,0,0,0,1,1
26,4,0,1,0,0,0,0,0,1,1
18,-7,0,0,1,0,0,1,0,0,0
4,-285,1,0,0,0,0,0,0,0,0
10,180,1,0,0,0,0,1,0,1,1
26,223,0,0,0,1,0,1,0,1,1
25,144,0,1,0,0,0,0,0,1,1
14,78,0,1,0,0,0,0,0,1,1
19,76,0,0,1,0,0,0,0,1,1
26,-85,0,1,0,0,0,1,1,0,0
6,204,1,0,0,0,0,0,0,0,1
9,-212,0,0,0,0,1,1,0,0,0
6,-140,0,1,0,0,0,1,0,0,0
12,-3,0,1,0,0,0,0,0,0,0
4,-229,0,1,0,0,0,0,0,0,0
2,16,0,0,1,0,0,0,0,1,1
5,337,0,0,1,0,0,0,1,1,1
6,-270,1,0,0,0,0,0,0,0,0
19,-52,0,1,0,0,0,0,1,0,0
11,150,1,0,0,0,0,1,0,1,1
0,-127,0,0,1,0,0,0,0,0,0
23,213,0,1,0,0,0,0,0,1,1
22,331,0,1,0,0,0,1,0,1,1
26,210,1,0,0,0,0,1,0,1,1
25,75,1,0,0,0,0,1,0,1,1
10,-3,1,0,0,0,0,0,0,0,0
26,324,1,0,0,0,0,1,0,1,1
26,-14,0,1,0,0,0,1,0,0,0
3,-225,0,0,1,0,0,1,0,0,0
2,-168,0,1,0,0,0,1,0,0,0
26,41,0,0,1,0,0,1,0,1,1
26,323,1,0,0,0,0,1,0,1,1
22,170,0,1,0,0,0,0,0,1,1
23,340,0,1,0,0,0,1,0,1,1
23,213,0,0,0,0,1,1,0,1,1
22,-314,0,1,0,0,0,1,0,0,0
23,-129,0,1,0,0,0,0,0,0,0
0,-112,0,1,0,0,0,0,0,0,0
24,320,0,0,1,0,0,0,0,1,1
7,-84,0,1,0,0,0,1,0,0,0
20,75,0,1,0,0,0,0,0,1,1
17,289,1,0,0,0,0,1,0,1,1
25,147,1,0,0,0,0,1,0,1,1
4,-320,0,0,0,0,1,0,0,0,0
18,291,0,1,0,0,0,1,0,1,1
6,-216,0,1,0,0,0,0,0,0,0
26,282,1,0,0,0,0,0,0,1,1
15,-104,0,1,0,0,0,0,0,0,0
4,-311,1,0,0,0,0,0,0,0,0
0,-103,1,0,0,0,0,0,0,0,0
24,352,1,0,0,0,0,1,0,1,1
5,-100,0,0,1,0,0,0,0,0,0
1,-360,1,0,0,0,0,1,0,0,0
12,47,0,0,1,0,0,1,0,1,1
13,-288,0,1,0,0,0,0,0,0,0
26,325,0,1,0,0,0,1,0,1,1
11,221,0,1,0,0,0,1,0,1,1
21,149,0,0,0,0,1,0,0,1,1
11,-50,1,0,0,0,0,1,0,0,0
22,-278,0,1,0,0,0,1,0,0,0
14,87,0,1,0,0,0,1,0,1,1
26,-128,0,1,0,0,0,0,0,0,0
16,270,0,0,1,0,0,1,1,1,1
4,-104,0,1,0,0,0,1,0,0,0
26,-115,0,1,0,0,0,0,1,0,0
24,-33,0,0,0,0,1,1,0,0,0
6,-22,0,1,0,0,0,0,0,0,0
15,140,0,1,0,0,0,1,0,1,1
12,-47,1,0,0,0,0,1,0,0,0
12,340,0,0,1,0,0,0,0,1,1
3,-131,1,0,0,0,0,0,0,0,0
25,296,0,1,0,0,0,1,0,1,1
6,221,0,1,0,0,0,0,1,1,1
0,-311,0,0,1,0,0,0,0,0,0
24,182,1,0,0,0,0,1,0,1,1
24,224,1,0,0,0,0,0,0,1,1
25,89,0,1,0,0,0,0,0,1,1
6,-2,1,0,0,0,0,0,1,0,0
21,252,0,1,0,0,0,0,0,1,1
26,195,1,0,0,0,0,1,0,1,1
26,363,1,0,0,0,0,1,0,1,1
24,85,1,0,0,0,0,0,1,1,1
25,195,0,1,0,0,0,1,0,1,1
26,289,0,1,0,0,0,0,0,1,1
23,55,1,0,0,0,0,1,0,1,1
23,342,1,0,0,0,0,1,1,1,1
26,-351,0,1,0,0,0,0,0,0,0
13,-219,0,1,0,0,0,1,0,0,0
25,126,0,0,0,1,0,0,0,1,1
26,-109,0,1,0,0,0,0,0,0,0
26,326,1,0,0,0,0,1,0,1,1
0,-275,0,1,0,0,0,0,0,0,0
11,-104,0,1,0,0,0,1,0,0,0
4,-353,0,0,0,0,1,0,0,0,0
26,249,0,1,0,0,0,1,0,1,1
26,333,0,1,0,0,0,0,0,1,1
0,-161,0,1,0,0,0,1,0,0,0
3,-363,0,1,0,0,0,1,0,0,0
22,3,0,1,0,0,0,0,0,1,1
8,73,0,1,0,0,0,0,0,1,1
10,346,0,1,0,0,0,1,0,1,1
12,4,1,0,0,0,0,0,0,1,1
25,22,1,0,0,0,0,1,0,1,1
24,-30,0,0,1,0,0,0,0,0,0
11,305,1,0,0,0,0,0,0,1,1
3,-30,0,1,0,0,0,0,0,0,0
3,-275,1,0,0,0,0,0,0,0,0
24,-150,0,1,0,0,0,1,0,0,0
14,-307,0,1,0,0,0,0,0,0,0
3,-253,0,1,0,0,0,0,0,0,0
7,-169,0,1,0,0,0,1,0,0,0
26,353,1,0,0,0,0,1,0,1,1
11,-42,0,1,0,0,0,0,0,0,0
24,-87,0,1,0,0,0,1,0,0,0
26,-17,0,1,0,0,0,1,0,0,0
26,295,1,0,0,0,0,1,0,1,1
26,54,1,0,0,0,0,0,0,1,1
1,-342,0,1,0,0,0,1,0,0,0
10,144,1,0,0,0,0,1,0,1,1
26,-25,0,1,0,0,0,1,0,1,0
11,-66,0,1,0,0,0,1,0,0,0
23,346,0,1,0,0,0,1,0,1,1
19,-195,0,1,0,0,0,0,0,0,0
6,-72,1,0,0,0,0,0,0,0,0
24,147,0,1,0,0,0,1,1,1,1
0,-262,0,1,0,0,0,1,0,0,0
10,-311,1,0,0,0,0,1,0,0,0
0,-206,1,0,0,0,0,0,0,0,0
26,87,1,0,0,0,0,1,0,1,1
25,300,0,1,0,0,0,1,0,1,1
2,-140,0,0,1,0,0,0,0,0,0
25,2,1,0,0,0,0,1,0,1,1
3,42,1,0,0,0,0,0,0,1,1
5,121,0,0,1,0,0,1,0,1,1
11,74,0,0,1,0,0,1,0,1,1
6,-154,0,1,0,0,0,0,0,0,0
26,3,0,0,1,0,0,1,0,1,1
25,-6,0,1,0,0,0,1,0,0,0
2,-38,0,0,1,0,0,0,0,0,0
0,-263,1,0,0,0,0,0,0,0,0
24,305,0,1,0,0,0,0,0,1,1
7,-140,0,0,1,0,0,1,0,0,0
0,-267,1,0,0,0,0,0,0,0,0
26,292,1,0,0,0,0,0,0,1,1
24,-46,0,1,0,0,0,1,0,0,0
20,114,1,0,0,0,0,0,0,1,1
20,-244,1,0,0,0,0,0,0,0,0
19,191,0,1,0,0,0,0,0,1,1
13,-165,0,1,0,0,0,0,0,0,0
21,-245,0,0,0,0,1,0,0,0,0
2,-158,1,0,0,0,0,0,0,0,0
9,147,1,0,0,0,0,0,1,1,1
3,-131,1,0,0,0,0,0,0,0,0
5,-45,1,0,0,0,0,1,0,0,0
25,210,0,1,0,0,0,1,0,1,1
0,-76,0,0,1,0,0,1,0,0,0
26,103,0,1,0,0,0,0,0,1,1
11,-164,0,1,0,0,0,0,0,0,0
26,7,1,0,0,0,0,1,0,1,1
22,-97,1,0,0,0,0,0,0,0,0
20,-91,0,1,0,0,0,1,0,0,0
26,109,1,0,0,0,0,0,1,1,1
24,305,0,1,0,0,0,0,0,1,1
1,-360,0,1,0,0,0,1,0,0,0
1,-339,0,1,0,0,0,1,0,0,0
5,-275,0,1,0,0,0,0,0,0,0
10,222,1,0,0,0,0,1,1,1,1
24,248,1,0,0,0,0,1,0,1,1
25,91,1,0,0,0,0,1,0,1,1
26,33,1,0,0,0,0,0,0,1,1
24,-201,0,1,0,0,0,0,0,0,0
14,-29,0,1,0,0,0,1,0,0,0
21,-337,1,0,0,0,0,1,0,0,0
23,313,0,0,1,0,0,1,0,1,1
25,240,1,0,0,0,0,1,0,1,1
24,207,0,1,0,0,0,0,0,1,1
0,-150,0,0,1,0,0,1,0,0,0
26,363,0,1,0,0,0,0,0,1,1
0,-73,1,0,0,0,0,0,0,0,0
22,151,1,0,0,0,0,0,0,1,1
26,218,0,1,0,0,0,0,1,1,1
26,157,1,0,0,0,0,1,0,1,1
12,-51,1,0,0,0,0,0,1,0,0
24,28,0,0,0,0,1,1,0,1,1
0,-94,0,1,0,0,0,0,0,0,0
5,-322,0,1,0,0,0,1,0,0,0
25,51,1,0,0,0,0,1,0,1,1
25,162,0,1,0,0,0,0,0,1,1
16,-51,0,1,0,0,0,1,0,0,0
24,215,0,1,0,0,0,1,0,1,1
6,-176,0,1,0,0,0,1,0,0,0
23,-39,0,0,0,1,0,0,0,0,0
24,66,0,1,0,0,0,0,0,1,1
26,335,0,0,1,0,0,1,0,1,1
24,317,0,1,0,0,0,1,0,1,1
23,273,1,0,0,0,0,1,0,1,1
26,274,1,0,0,0,0,1,0,1,1
22,-341,0,1,0,0,0,0,0,0,0
20,-137,0,1,0,0,0,1,0,0,0
17,-110,1,0,0,0,0,0,0,0,0
14,-258,0,1,0,0,0,0,1,0,0
16,-131,0,1,0,0,0,1,0,0,0
26,-87,0,0,0,0,1,1,0,0,0
1,-264,0,1,0,0,0,0,0,0,0
23,166,0,0,0,0,1,1,0,1,1
0,-305,0,1,0,0,0,0,0,0,0
26,355,0,0,1,0,0,0,0,1,1
20,-327,0,1,0,0,0,1,0,0,0
9,-90,1,0,0,0,0,1,0,0,0
19,-78,0,0,0,0,1,1,0,0,0
2,-32,1,0,0,0,0,0,0,0,0
24,-221,0,1,0,0,0,0,0,0,0
3,-180,0,0,0,0,1,0,0,0,0
26,152,0,0,1,0,0,1,0,1,1
26,42,0,1,0,0,0,0,0,1,1
24,197,0,1,0,0,0,1,0,1,1
24,20,0,0,0,1,0,1,0,1,1
26,18,0,1,0,0,0,0,0,1,1
13,-278,1,0,0,0,0,1,0,0,0
17,-11,0,1,0,0,0,1,0,0,0
20,-81,0,0,1,0,0,1,0,0,0
2,-342,1,0,0,0,0,1,0,0,0
0,-258,0,1,0,0,0,0,0,0,0
25,42,0,1,0,0,0,0,0,1,1
0,-107,1,0,0,0,0,1,0,0,0
24,305,0,1,0,0,0,1,0,1,1
0,-305,0,0,1,0,0,0,0,0,0
20,-164,1,0,0,0,0,1,0,0,0
20,183,0,1,0,0,0,0,0,1,1
25,-186,0,1,0,0,0,1,0,0,0
19,-294,1,0,0,0,0,1,0,0,0
10,-244,1,0,0,0,0,0,0,0,0
23,14,1,0,0,0,0,1,0,1,1
15,153,1,0,0,0,0,1,0,1,1
20,-109,0,1,0,0,0,0,0,0,0
2,-299,1,0,0,0,0,0,1,0,0
9,283,1,0,0,0,0,1,0,1,1
18,-316,1,0,0,0,0,0,0,0,0
11,145,1,0,0,0,0,0,0,1,1
26,343,0,1,0,0,0,1,0,1,1
24,165,0,1,0,0,0,0,0,1,1
25,250,1,0,0,0,0,0,0,1,1
25,339,1,0,0,0,0,0,0,1,1
0,-357,0,0,1,0,0,1,0,0,0
26,243,0,1,0,0,0,0,0,1,1
0,-30,1,0,0,0,0,0,0,0,0
18,61,1,0,0,0,0,1,0,1,1
11,-339,1,0,0,0,0,1,0,0,0
0,4,0,1,0,0,0,0,1,0,1
17,205,1,0,0,0,0,1,0,1,1
23,123,0,1,0,0,0,0,0,1,1
26,145,1,0,0,0,0,1,0,1,1
2,-87,1,0,0,0,0,1,0,0,0
25,270,1,0,0,0,0,0,0,1,1
26,146,0,1,0,0,0,1,0,1,1
26,205,1,0,0,0,0,1,0,1,1
17,-143,0,1,0,0,0,1,0,0,0
26,145,1,0,0,0,0,1,0,1,1
0,-222,0,0,1,0,0,0,1,0,0
12,-36,1,0,0,0,0,0,0,0,0
4,-95,1,0,0,0,0,1,0,0,0
26,325,1,0,0,0,0,1,0,1,1
4,-75,1,0,0,0,0,1,0,0,0
0,-29,0,0,1,0,0,0,0,0,0
12,32,0,0,1,0,0,0,0,1,1
19,-230,0,1,0,0,0,1,0,0,0
25,-342,1,0,0,0,0,0,0,0,0
5,-219,1,0,0,0,0,1,0,0,0
4,-132,0,1,0,0,0,0,0,0,0
1,-305,1,0,0,0,0,0,1,0,0
26,-252,1,0,0,0,0,1,0,0,0
24,76,0,1,0,0,0,1,0,1,1
8,-251,0,1,0,0,0,1,0,0,0
24,135,0,1,0,0,0,0,0,1,1
13,283,1,0,0,0,0,1,0,1,1
23,296,0,0,1,0,0,1,0,1,1
24,45,0,1,0,0,0,0,0,1,1
5,14,0,0,1,0,0,0,0,1,1
26,128,0,1,0,0,0,1,0,1,1
0,-228,0,0,1,0,0,0,0,0,0
5,74,0,0,0,1,0,0,0,1,1
26,70,0,1,0,0,0,0,0,1,1
5,-286,1,0,0,0,0,0,0,0,0
24,-261,0,0,0,1,0,1,0,0,0
4,-184,0,1,0,0,0,1,1,0,0
24,168,1,0,0,0,0,1,0,1,1
5,-326,1,0,0,0,0,0,0,0,0
25,137,1,0,0,0,0,1,0,1,1
26,149,0,0,0,1,0,0,0,1,1
3,132,0,1,0,0,0,0,0,1,1
6,-207,0,1,0,0,0,1,0,0,0
25,239,0,1,0,0,0,1,0,1,1
0,-112,0,0,1,0,0,1,0,0,0
19,195,1,0,0,0,0,1,0,1,1
26,361,1,0,0,0,0,0,1,1,1
24,66,0,0,1,0,0,1,0,1,1
26,332,0,1,0,0,0,0,0,1,1
17,180,1,0,0,0,0,1,0,1,1
13,-29,0,1,0,0,0,1,0,0,0
8,64,1,0,0,0,0,0,0,1,1
25,52,0,1,0,0,0,1,0,1,1
14,-14,0,1,0,0,0,0,0,0,0
26,67,1,0,0,0,0,0,0,1,1
26,-279,0,1,0,0,0,0,0,0,0
0,-221,0,1,0,0,0,1,0,0,0
25,120,1,0,0,0,0,1,0,1,1
21,55,0,0,1,0,0,1,0,1,1
23,-173,0,1,0,0,0,0,0,0,0
0,-250,0,1,0,0,0,1,0,0,0
24,332,0,1,0,0,0,1,0,1,1
13,-33,1,0,0,0,0,1,0,0,0
21,-281,1,0,0,0,0,1,0,0,0
23,-42,0,1,0,0,0,1,0,0,0
2,-272,0,1,0,0,0,0,0,0,0
14,-47,0,1,0,0,0,0,0,0,0
26,239,0,1,0,0,0,0,0,1,1
8,364,1,0,0,0,0,1,0,1,1
2,-345,0,1,0,0,0,1,0,0,0
26,140,0,1,0,0,0,0,0,1,1
15,-52,0,1,0,0,0,1,0,0,0
22,296,1,0,0,0,0,1,1,1,1
1,-89,0,1,0,0,0,1,0,0,0
14,273,1,0,0,0,0,0,0,1,1
26,275,1,0,0,0,0,0,0,1,1
23,358,0,1,0,0,0,0,0,1,1
25,33,0,1,0,0,0,0,0,1,1
25,291,1,0,0,0,0,1,0,1,1
25,187,0,1,0,0,0,1,0,1,1
21,-140,0,1,0,0,0,1,0,0,0
18,318,0,0,0,0,1,1,0,1,1
26,271,0,1,0,0,0,0,0,1,1
25,257,1,0,0,0,0,0,0,1,1
26,102,0,1,0,0,0,0,0,1,1
21,337,0,0,1,0,0,1,0,1,1
1,-346,0,0,1,0,0,1,0,0,0
0,-314,0,1,0,0,0,0,0,0,0
18,221,0,1,0,0,0,1,0,1,1
11,136,0,1,0,0,0,1,0,1,1
26,359,0,1,0,0,0,1,0,1,1
26,340,1,0,0,0,0,1,0,1,1
25,73,1,0,0,0,0,0,0,1,1
0,-59,0,0,1,0,0,1,0,0,0
17,79,1,0,0,0,0,0,0,1,1
26,177,0,0,0,0,1,0,0,1,1
24,-51,1,0,0,0,0,1,0,0,0
4,-82,1,0,0,0,0,1,0,0,0
26,235,0,1,0,0,0,0,0,1,1
16,-182,0,1,0,0,0,0,0,0,0
24,-61,1,0,0,0,0,0,0,0,0
0,-280,0,0,1,0,0,0,0,0,0
1,-201,1,0,0,0,0,0,0,0,0
25,190,0,0,1,0,0,1,0,1,1
0,-353,0,1,0,0,0,0,0,0,0
26,295,1,0,0,0,0,1,0,1,1
26,284,1,0,0,0,0,1,0,1,1
0,-269,0,1,0,0,0,1,0,0,0
24,-41,1,0,0,0,0,1,0,0,0
2,260,1,0,0,0,0,0,1,0,1
24,248,0,1,0,0,0,1,0,1,1
9,-59,0,1,0,0,0,1,0,0,0
25,322,0,1,0,0,0,1,0,1,1
25,-132,0,1,0,0,0,0,0,0,0
6,-340,0,1,0,0,0,0,0,0,0
24,234,0,1,0,0,0,1,0,1,1
16,-32,0,1,0,0,0,1,0,0,0
16,-103,1,0,0,0,0,1,0,0,0
26,31,0,1,0,0,0,1,0,1,1
9,176,0,1,0,0,0,0,0,1,1
20,-195,0,1,0,0,0,0,0,0,0
11,-258,1,0,0,0,0,1,0,0,0
22,296,0,0,1,0,0,1,0,1,1
17,240,1,0,0,0,0,1,0,1,1
26,15,0,1,0,0,0,1,0,1,1
24,190,0,1,0,0,0,0,0,1,1
0,-249,0,0,1,0,0,1,0,0,0
26,260,1,0,0,0,0,0,0,1,1
26,282,0,1,0,0,0,1,0,1,1
10,349,1,0,0,0,0,1,0,1,1
0,-239,1,0,0,0,0,1,0,0,0
26,127,1,0,0,0,0,0,0,1,1
1,-360,0,1,0,0,0,0,0,0,0
26,16,0,0,0,0,1,0,0,1,1
0,-167,0,1,0,0,0,1,0,0,0
